,Columns,n,type,mean,std,min,25%,50%,75%,max,value 0,value 1,value 2,value 3,value 4,freq 0,freq 1,freq 2,freq 3,freq 4,freqNull,freqOther
0,id,8695,int64,16544307.355721679,8125396.555190538,2318.0,9908835.5,18135748.0,22870128.5,29197274.0,7178239,19621378,19808585,14200317,21560493,1.0,1.0,1.0,1.0,1.0,0.0,8690.0
1,listing_url,8695,object,,,,,,,,https://www.airbnb.com/rooms/16547797,https://www.airbnb.com/rooms/7324041,https://www.airbnb.com/rooms/22210627,https://www.airbnb.com/rooms/13140719,https://www.airbnb.com/rooms/24045054,1.0,1.0,1.0,1.0,1.0,0.0,8690.0
2,scrape_id,8695,int64,20181011130924.938,1.0625611036030065,20181011130926.0,20181011130926.0,20181011130926.0,20181011130926.0,20181011130926.0,20181011130926.0,,,,,8695.0,,,,,0.0,0.0
3,last_scraped,8695,object,,,,,,,,2018-10-11,,,,,8695.0,,,,,0.0,0.0
4,name,8695,object,,,,,,,,Domicile ¨C New Premium Apt Near Amzn - Chroma SLU,Executive Apt near Facebk/Amzn/Goog,Executive Apt near Facebk/Amzn/Goog w/City View,Capital Hill Apartments 30 day stay minimum,Domicile ¨C New Premium Apt By Amazon - Chroma SLU,29.0,24.0,12.0,10.0,8.0,0.0,8612.0
5,summary,8258,object,,,,,,,,"Wonderful brand new well appointed apartments in the heart of South Lake Union. Walk to any number of Amazon buildings, numerous restaurants nearby and a park right across the street.","New modern fully furnished, equipped and serviced apartment with great amenities. Across the street from South Lake Union and marina. Located mere steps from facebk, walk to Amazon, close to (Hidden by Airbnb) , other major companies and Seattle Center.",This apartment is fully furnished. It includes everything you would need to call this your home away from home. From the essentials like TVs and internet to the basics.We have 20 apartments in the same building all furnished and we look out for corporate and families alike who would like to try out a hotel alternative in Seattle. The apartment has an equipped kitchen with all appliances and also has the washer and dryer built in.,"We are located in a beautiful residential area of Capitol Hill surrounded by old mansions and greenery, with gorgeous views of Lake Washington and the Cascade Mountains. We are a 15-minute drive or 40-minute bus ride from the downtown business district, the UW, and Bellevue. Within a 20-minute walk, we have several large grocery stores, cafes, bars, restaurants, specialty shops, and parks.","Here's a link to all of my listings on Airbnb. I¡¯d look around to see if any could be perfect for your trip. ALL my units are either downtown or in cap hill in 98 walkscore or better locations. Each has a different style, location and price point that could make a big impact on your trip to Seattle!  https://www.airbnb.com/s?host_id=8534462&s_tag=E8saSKEL",32.0,31.0,27.0,25.0,24.0,437.0,8119.0
6,space,6766,object,,,,,,,,"We are available to assist you with absolutely anything you need 10 AM through Midnight, 7 days a week by SMS text messaging, email or phone We offer complimentary upgrades to our regular loyal guests","More than just a hotel room, this entire apartment features huge windows with awesome Seattle views. A private balcony, upscale appliances and chic wood floors put you in the lap of luxury.","Great location across from the marina in South Lake Union. Steps away from facebk Seattle. Centrally located between Amazon's main campus (< 1mi) and facebk's Seattle office (1.5mi). Also convenient to Seattle Center, Bill and Melinda Gates Foundation, Allen Institute. Amazing set of community spaces in this building to take advantage of.",A brand new building located in the heart of South Lake Union. Centrally located amidst Amazon's main campus. Numerous restaurants and transit nearby. A wonderful large open park is right across the street.,"Our house is inspired by our experiences traveling and living around the world, blending the comforts of home with the welcoming international communities of our favorite hostels. Our ten long-term residents are artists, Amazonians, entrepreneurs, writers, students, and techies with a wide array of interests and a boundless curiosity about the world. We feel very fortunate that all of our guests share the same enthusiasm for life! We are a great option for travelers looking for something local and authentic. We¡¯re also well-suited for transplants, students, contract employees, minimalists, introverts, creatives, freelancers, and anyone looking for something a little different!  THE HOUSE:  Our house is a large three-level home built in the late 1930s with hardwood floors, skylights, large picture windows, gardens, and a backyard filled with trees and wildlife. This piece of vintage Seattle comes with: - Plenty of street parking (we are the only house on the block!) - A hillside backyar",137.0,75.0,44.0,39.0,24.0,1929.0,6447.0
7,description,8657,object,,,,,,,,"We are available to assist you with absolutely anything you need 10 AM through Midnight, 7 days a week by SMS text messaging, email or phone We offer complimentary upgrades to our regular loyal guests","Location Located in Seattle Central Business District, this condo is within a 5-minute walk of Town Hall Seattle and Washington State Convention Center. Nordstrom and Columbia Center are also within 10 minutes. Property Features A 24-hour fitness center, a bar/lounge, and a business center are available at this condo. WiFi in public areas is free. Other amenities include a meeting room, concierge services, and dry cleaning.","Location Located in Downtown Seattle, this condo is within a 5-minute walk of Moore Theater and Pike Place Market. Nordstrom and Seattle Great Wheel are also within 15 minutes. Property Features This condo features a 24-hour fitness center, a rooftop terrace, and a 24-hour business center. WiFi in public areas is free. Additionally, laundry facilities and barbecue grills are onsite. Please fill out the check in form we send you two days prior to arrival.","Wonderful brand new well appointed apartments in the heart of South Lake Union. Walk to any number of Amazon buildings, numerous restaurants nearby and a park right across the street. A brand new building located in the heart of South Lake Union. Centrally located amidst Amazon's main campus. Numerous restaurants and transit nearby. A wonderful large open park is right across the street. Guests will have access to the entire apartment, rooftop patio and grill area, community lounge with billiards table, extremely well equipped fitness facility and digital concierge during their stay. All Domicile apartments offer our guests a digital concierge service. Addison, your Domicile host, is there to support you through the entirety of your reservation including: 1. Offering recommendations and making reservations for restaurants/activities 2. Answering questions or requests related to your stay 3. Taking future booking requests Located in central South Lake Union these apartments are a short ","New modern fully furnished, equipped and serviced apartment with great amenities. Across the street from South Lake Union and marina. Located mere steps from facebk, walk to Amazon, close to (Hidden by Airbnb) , other major companies and Seattle Center. Great location across from the marina in South Lake Union. Steps away from facebk Seattle. Centrally located between Amazon's main campus (< 1mi) and facebk's Seattle office (1.5mi). Also convenient to Seattle Center, Bill and Melinda Gates Foundation, Allen Institute. Amazing set of community spaces in this building to take advantage of. Guests will have access to the entire apartment, rooftop patio and grill area, bowling alley, community lounge, gym, and digital concierge during their stay. All Domicile apartments offer our guests a digital concierge service. Addison, your Domicile host, is there to support you through the entirety of your reservation including: Offering recommendations and making reservations for restaurants/activit",131.0,54.0,37.0,30.0,29.0,38.0,8376.0
8,experiences_offered,8695,object,,,,,,,,none,,,,,8695.0,,,,,0.0,0.0
9,neighborhood_overview,6082,object,,,,,,,,Belltown,Located across from the South Lake Union marina these apartments are a short walk to some well known technology businesses nearby. You can also enjoy some nice open green spaces that are on the edge of South Lake Union.,Pike Place,"Located in central South Lake Union these apartments are a short walk to some well known technology businesses nearby (Amazon, Impinj, Northeastern University, Path). You can also enjoy the large park across the street.","South Jackson Street is a multi-family home in Seattle, WA 98104. This 77,927 square foot multi-family home sits on a 0.51 acre lot. This property was built in 2015. Nearby schools include Puget Sound Community School, Childhaven Elementary School and O'dea High School. The closest grocery stores are Union Station Market, Dong Sing Market and Il Corvo Pasta Studio. Nearby coffee shops include Maxang Deli and Espresso, Pacific Cafe - Hong Kong Kitchen and Seattle Best Tea. Nearby restaurants include Thai Curry Simple, New Star Seafood Restaurant and Red Lantern. South Jackson Street is near King Street Station Park, Union Station Square and Hing Hay Park. There are excellent bike lanes and the terrain has some hills. South Jackson Street is bikeable, there is some bike infrastructure.",50.0,47.0,41.0,39.0,32.0,2613.0,5873.0
