,Columns,n,type,mean,std,min,25%,50%,75%,max,value 0,value 1,value 2,value 3,value 4,freq 0,freq 1,freq 2,freq 3,freq 4,freqNull,freqOther
0,host_response_rate,4323,float64,98.26278047652093,8.074380639777964,0.0,100.0,100.0,100.0,100.0,100.0,99.0,90.0,80.0,94.0,3434.0,523.0,82.0,38.0,36.0,0.0,210.0
1,host_total_listings_count,4323,int64,93.63844552394171,241.85455848899065,0.0,1.0,2.0,29.0,1308.0,1,2,492,3,4,1805.0,558.0,334.0,235.0,147.0,0.0,1244.0
2,accommodates,4323,int64,4.650242886884108,2.5377833064228574,1.0,3.0,4.0,6.0,28.0,4,2,6,3,5,1026.0,838.0,711.0,634.0,406.0,0.0,708.0
3,bathrooms,4323,float64,1.4636826278047652,0.7150459049096257,0.0,1.0,1.0,2.0,6.0,1.0,2.0,2.5,1.5,3.0,2713.0,782.0,278.0,251.0,152.0,0.0,147.0
4,bedrooms,4323,float64,1.7786259541984732,1.1795285529249364,0.0,1.0,2.0,2.0,10.0,1.0,2.0,3.0,0.0,4.0,1688.0,1258.0,638.0,386.0,244.0,0.0,109.0
5,beds,4323,float64,2.3777469349988434,1.6202486694466836,0.0,1.0,2.0,3.0,20.0,1.0,2.0,3.0,4.0,5.0,1439.0,1234.0,772.0,411.0,210.0,0.0,257.0
6,price,4323,float64,228.85681239879713,168.43029580744474,120.0,149.0,190.0,265.5,5400.0,150.0,125.0,200.0,250.0,120.0,362.0,234.0,204.0,178.0,174.0,0.0,3171.0
7,security_deposit,4323,float64,306.33888503354154,412.83146696220774,0.0,100.0,250.0,400.0,5000.0,0.0,300.0,500.0,250.0,200.0,1021.0,731.0,624.0,438.0,410.0,0.0,1099.0
8,cleaning_fee,4323,float64,96.93939393939394,61.636587978292546,0.0,55.0,85.0,120.0,700.0,50.0,75.0,100.0,150.0,109.0,403.0,394.0,341.0,233.0,218.0,0.0,2734.0
9,minimum_nights,4323,int64,3.861207494795281,14.591782348300317,1.0,1.0,2.0,3.0,400.0,2,1,3,5,4,1949.0,1185.0,637.0,140.0,134.0,0.0,278.0
10,maximum_nights,4323,int64,663.4318760120287,540.3610475456643,1.0,30.0,1125.0,1125.0,10000.0,1125,365,30,14,29,2269.0,264.0,249.0,151.0,140.0,0.0,1250.0
