,Columns,n,type,mean,std,min,25%,50%,75%,max,value 0,value 1,value 2,value 3,value 4,freq 0,freq 1,freq 2,freq 3,freq 4,freqNull,freqOther
0,host_response_rate,8695,float64,98.1683726279471,8.510345687530696,0.0,100.0,100.0,100.0,100.0,100.0,99.0,90.0,96.0,94.0,7144.0,703.0,187.0,83.0,80.0,0.0,498.0
1,host_total_listings_count,8695,int64,51.42081656124209,176.894608355286,0.0,1.0,2.0,6.0,1308.0,1.0,2.0,3.0,492.0,4.0,4056.0,1312.0,555.0,334.0,317.0,0.0,2121.0
2,accommodates,8695,int64,3.623001725129385,2.246439804170701,1.0,2.0,3.0,4.0,28.0,2.0,4.0,3.0,6.0,5.0,3245.0,1769.0,1124.0,827.0,544.0,0.0,1186.0
3,bathrooms,8695,float64,1.3021276595744682,0.6342000025515988,0.0,1.0,1.0,1.5,8.0,1.0,2.0,1.5,2.5,3.0,6473.0,976.0,479.0,312.0,185.0,0.0,270.0
4,bedrooms,8695,float64,1.3814836112708453,1.002275927526652,0.0,1.0,1.0,2.0,10.0,1.0,2.0,0.0,3.0,4.0,4990.0,1662.0,986.0,694.0,252.0,0.0,111.0
5,beds,8695,float64,1.8759056929269695,1.3524807971742503,0.0,1.0,1.0,2.0,20.0,1.0,2.0,3.0,4.0,5.0,4522.0,2190.0,1005.0,459.0,222.0,0.0,297.0
6,price,8695,float64,153.11500862564694,141.6478098079617,0.0,80.0,119.0,189.0,5400.0,100.0,150.0,99.0,75.0,125.0,367.0,362.0,269.0,238.0,234.0,0.0,7225.0
7,security_deposit,8695,float64,246.35767682576193,350.9113127832791,0.0,0.0,200.0,300.0,5000.0,0.0,300.0,100.0,500.0,200.0,2485.0,1105.0,1001.0,941.0,863.0,0.0,2300.0
8,cleaning_fee,8695,float64,72.21138585393905,56.547519640985826,0.0,30.0,60.0,100.0,700.0,50.0,75.0,100.0,25.0,30.0,853.0,681.0,470.0,462.0,447.0,0.0,5782.0
9,minimum_nights,8695,int64,3.6172512938470387,13.053447015489903,1.0,1.0,2.0,2.0,400.0,2.0,1.0,3.0,4.0,5.0,3572.0,3054.0,1051.0,267.0,209.0,0.0,542.0
10,maximum_nights,8695,int64,600.0425531914893,542.5228065791755,1.0,29.0,1000.0,1125.0,10000.0,1125.0,30.0,365.0,14.0,7.0,4170.0,583.0,354.0,348.0,312.0,0.0,2928.0
11,availability_365,8695,int64,140.31581368602644,129.55485570489725,0.0,15.0,92.0,271.0,365.0,0.0,365.0,364.0,344.0,180.0,1709.0,186.0,87.0,83.0,75.0,0.0,6555.0
12,number_of_reviews,8695,int64,42.09913743530765,62.55570928133743,0.0,3.0,17.0,55.0,713.0,0.0,1.0,2.0,3.0,4.0,982.0,525.0,419.0,304.0,261.0,0.0,6204.0
13,review_scores_rating,8695,float64,95.32432432432432,6.392349757902171,20.0,94.0,97.0,99.0,100.0,100.0,98.0,99.0,97.0,96.0,2057.0,1082.0,903.0,865.0,738.0,0.0,3050.0
14,review_scores_cleanliness,8695,float64,9.656699252443934,0.7141675871935065,2.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,7.0,6.0,6444.0,1785.0,324.0,66.0,58.0,0.0,18.0
15,review_scores_communication,8695,float64,9.841058079355951,0.5729849385303352,2.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,6.0,7.0,7707.0,789.0,119.0,32.0,28.0,0.0,20.0
16,review_scores_location,8695,float64,9.739965497412307,0.5682195656345036,2.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,7.0,6.0,6755.0,1731.0,155.0,28.0,17.0,0.0,9.0
