,Columns,n,type,mean,std,min,25%,50%,75%,max,value 0,value 1,value 2,value 3,value 4,freq 0,freq 1,freq 2,freq 3,freq 4,freqNull,freqOther
0,host_response_rate,4372,float64,98.07502287282708,8.920444445226215,0.0,100.0,100.0,100.0,100.0,100.0,99.0,90.0,96.0,94.0,3710.0,180.0,105.0,66.0,44.0,0.0,267.0
1,host_total_listings_count,4372,int64,9.676349496797805,29.935296022606728,0.0,1.0,1.0,3.0,458.0,1,2,3,4,5,2251.0,754.0,320.0,170.0,106.0,0.0,771.0
2,accommodates,4372,int64,2.607273559011894,1.2624750361269372,1.0,2.0,2.0,3.0,16.0,2,4,3,1,5,2407.0,743.0,490.0,439.0,138.0,0.0,155.0
3,bathrooms,4372,float64,1.1423833485818846,0.49305781510753593,0.0,1.0,1.0,1.0,8.0,1.0,1.5,2.0,3.5,2.5,3760.0,228.0,194.0,70.0,34.0,0.0,86.0
4,bedrooms,4372,float64,0.9887923147301007,0.5587126965098491,0.0,1.0,1.0,1.0,8.0,1.0,0.0,2.0,3.0,4.0,3302.0,600.0,404.0,56.0,8.0,0.0,2.0
5,beds,4372,float64,1.3796889295516925,0.7397150169656305,0.0,1.0,1.0,2.0,11.0,1.0,2.0,3.0,4.0,0.0,3083.0,956.0,233.0,48.0,28.0,0.0,24.0
6,price,4372,float64,78.22209515096066,23.938949201255966,0.0,60.0,80.0,99.0,119.0,100.0,99.0,75.0,90.0,80.0,367.0,269.0,238.0,198.0,178.0,0.0,3122.0
7,security_deposit,4372,float64,187.04871912168343,263.30476865199716,0.0,0.0,100.0,250.0,3000.0,0.0,100.0,200.0,300.0,150.0,1464.0,693.0,453.0,374.0,357.0,0.0,1031.0
8,cleaning_fee,4372,float64,47.76052150045746,37.42870372156353,0.0,25.0,40.0,60.0,350.0,50.0,30.0,25.0,20.0,40.0,450.0,375.0,372.0,310.0,296.0,0.0,2569.0
9,minimum_nights,4372,int64,3.3760292772186644,11.325348175419943,1.0,1.0,2.0,2.0,365.0,1,2,3,4,5,1869.0,1623.0,414.0,133.0,69.0,0.0,264.0
10,maximum_nights,4372,int64,537.3636779505947,537.409902905629,1.0,21.0,120.0,1125.0,1825.0,1125,30,7,14,21,1901.0,334.0,213.0,197.0,165.0,0.0,1562.0
11,availability_365,4372,int64,128.3636779505947,125.43255540580323,0.0,11.0,82.0,224.0,365.0,0,365,364,363,90,913.0,68.0,50.0,43.0,39.0,0.0,3259.0
12,number_of_reviews,4372,int64,52.96523330283623,71.03258846466429,0.0,6.0,26.0,73.0,713.0,0,1,2,3,4,387.0,202.0,166.0,126.0,113.0,0.0,3378.0
13,review_scores_rating,4372,float64,95.28774016468435,6.093866963358124,20.0,94.0,97.0,99.0,100.0,100.0,98.0,99.0,97.0,96.0,887.0,553.0,498.0,462.0,408.0,0.0,1564.0
14,review_scores_cleanliness,4372,float64,9.617337602927721,0.7521502478596278,2.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,7.0,6.0,3119.0,985.0,191.0,36.0,28.0,0.0,13.0
15,review_scores_communication,4372,float64,9.860475754803293,0.5045866520374149,2.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,6.0,7.0,3902.0,393.0,52.0,10.0,9.0,0.0,6.0
16,review_scores_location,4372,float64,9.694190301921317,0.585052198495362,2.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,7.0,6.0,3188.0,1087.0,73.0,10.0,9.0,0.0,5.0
17,review_scores_value,4372,float64,9.602927721866422,0.6886142247171367,2.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,7.0,6.0,2934.0,1247.0,140.0,22.0,18.0,0.0,11.0
18,host_response_time_flag,4372,int64,0.5896614821591949,0.4919513945077631,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,2578.0,1794.0,,,,0.0,0.0
19,host_response_rate_flag,4372,int64,0.5896614821591949,0.4919513945077631,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,2578.0,1794.0,,,,0.0,0.0
20,security_deposit_flag,4372,int64,0.7017383348581885,0.45754729635774827,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,3068.0,1304.0,,,,0.0,0.0
21,bathrooms_flag,4372,int64,0.9990850869167429,0.030237148347129063,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,4368.0,4.0,,,,0.0,0.0
22,beds_flag,4372,int64,0.9997712717291857,0.015123765100472647,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,4371.0,1.0,,,,0.0,0.0
23,review_scores_accuracy_flag,4372,int64,0.9011893870082343,0.29844169949141386,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,3940.0,432.0,,,,0.0,0.0
24,review_scores_checkin_flag,4372,int64,0.9011893870082343,0.29844169949141386,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,3940.0,432.0,,,,0.0,0.0
25,review_scores_location_flag,4372,int64,0.9009606587374199,0.2987489989332254,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,3939.0,433.0,,,,0.0,0.0
26,host_is_superhost_f,4372,uint8,0.5802836230558097,0.4935689013933635,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,2537.0,1835.0,,,,0.0,0.0
27,host_is_superhost_t,4372,uint8,0.4197163769441903,0.4935689013933635,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,2537.0,1835.0,,,,0.0,0.0
28,neighbourhood_group_cleansed_Beacon Hill,4372,uint8,0.053064958828911254,0.22418868166238118,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4140.0,232.0,,,,0.0,0.0
29,neighbourhood_group_cleansed_Cascade,4372,uint8,0.027904849039341262,0.16471907716020018,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4250.0,122.0,,,,0.0,0.0
